"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","TOT","MEANSCORE","A","2012",504,
"AUS","PISAMATH","TOT","MEANSCORE","A","2015",494,
"AUT","PISAMATH","TOT","MEANSCORE","A","2012",506,
"AUT","PISAMATH","TOT","MEANSCORE","A","2015",497,
"BEL","PISAMATH","TOT","MEANSCORE","A","2012",515,
"BEL","PISAMATH","TOT","MEANSCORE","A","2015",507,
"CAN","PISAMATH","TOT","MEANSCORE","A","2012",518,
"CAN","PISAMATH","TOT","MEANSCORE","A","2015",516,
"CZE","PISAMATH","TOT","MEANSCORE","A","2012",499,
"CZE","PISAMATH","TOT","MEANSCORE","A","2015",492,
"DNK","PISAMATH","TOT","MEANSCORE","A","2012",500,
"DNK","PISAMATH","TOT","MEANSCORE","A","2015",511,
"FIN","PISAMATH","TOT","MEANSCORE","A","2012",519,
"FIN","PISAMATH","TOT","MEANSCORE","A","2015",511,
"FRA","PISAMATH","TOT","MEANSCORE","A","2012",495,
"FRA","PISAMATH","TOT","MEANSCORE","A","2015",493,
"DEU","PISAMATH","TOT","MEANSCORE","A","2012",514,
"DEU","PISAMATH","TOT","MEANSCORE","A","2015",506,
"GRC","PISAMATH","TOT","MEANSCORE","A","2012",453,
"GRC","PISAMATH","TOT","MEANSCORE","A","2015",454,
"HUN","PISAMATH","TOT","MEANSCORE","A","2012",477,
"HUN","PISAMATH","TOT","MEANSCORE","A","2015",477,
"ISL","PISAMATH","TOT","MEANSCORE","A","2012",493,
"ISL","PISAMATH","TOT","MEANSCORE","A","2015",488,
"IRL","PISAMATH","TOT","MEANSCORE","A","2012",501,
"IRL","PISAMATH","TOT","MEANSCORE","A","2015",504,
"ITA","PISAMATH","TOT","MEANSCORE","A","2012",485,
"ITA","PISAMATH","TOT","MEANSCORE","A","2015",490,
"JPN","PISAMATH","TOT","MEANSCORE","A","2012",536,
"JPN","PISAMATH","TOT","MEANSCORE","A","2015",532,
"KOR","PISAMATH","TOT","MEANSCORE","A","2012",554,
"KOR","PISAMATH","TOT","MEANSCORE","A","2015",524,
"LUX","PISAMATH","TOT","MEANSCORE","A","2012",490,
"LUX","PISAMATH","TOT","MEANSCORE","A","2015",486,
"MEX","PISAMATH","TOT","MEANSCORE","A","2012",413,
"MEX","PISAMATH","TOT","MEANSCORE","A","2015",408,
"NLD","PISAMATH","TOT","MEANSCORE","A","2012",523,
"NLD","PISAMATH","TOT","MEANSCORE","A","2015",512,
"NZL","PISAMATH","TOT","MEANSCORE","A","2012",500,
"NZL","PISAMATH","TOT","MEANSCORE","A","2015",495,
"NOR","PISAMATH","TOT","MEANSCORE","A","2012",489,
"NOR","PISAMATH","TOT","MEANSCORE","A","2015",502,
"POL","PISAMATH","TOT","MEANSCORE","A","2012",518,
"POL","PISAMATH","TOT","MEANSCORE","A","2015",504,
"PRT","PISAMATH","TOT","MEANSCORE","A","2012",487,
"PRT","PISAMATH","TOT","MEANSCORE","A","2015",492,
"SVK","PISAMATH","TOT","MEANSCORE","A","2012",482,
"SVK","PISAMATH","TOT","MEANSCORE","A","2015",475,
"ESP","PISAMATH","TOT","MEANSCORE","A","2012",484,
"ESP","PISAMATH","TOT","MEANSCORE","A","2015",486,
"SWE","PISAMATH","TOT","MEANSCORE","A","2012",478,
"SWE","PISAMATH","TOT","MEANSCORE","A","2015",494,
"CHE","PISAMATH","TOT","MEANSCORE","A","2012",531,
"CHE","PISAMATH","TOT","MEANSCORE","A","2015",521,
"TUR","PISAMATH","TOT","MEANSCORE","A","2012",448,
"TUR","PISAMATH","TOT","MEANSCORE","A","2015",420,
"GBR","PISAMATH","TOT","MEANSCORE","A","2012",494,
"GBR","PISAMATH","TOT","MEANSCORE","A","2015",492,
"USA","PISAMATH","TOT","MEANSCORE","A","2012",481,
"USA","PISAMATH","TOT","MEANSCORE","A","2015",470,
"BRA","PISAMATH","TOT","MEANSCORE","A","2012",389,
"BRA","PISAMATH","TOT","MEANSCORE","A","2015",377,
"CHL","PISAMATH","TOT","MEANSCORE","A","2012",423,
"CHL","PISAMATH","TOT","MEANSCORE","A","2015",423,
"EST","PISAMATH","TOT","MEANSCORE","A","2012",521,
"EST","PISAMATH","TOT","MEANSCORE","A","2015",520,
"IDN","PISAMATH","TOT","MEANSCORE","A","2012",375,
"IDN","PISAMATH","TOT","MEANSCORE","A","2015",386,
"ISR","PISAMATH","TOT","MEANSCORE","A","2012",466,
"ISR","PISAMATH","TOT","MEANSCORE","A","2015",470,
"LVA","PISAMATH","TOT","MEANSCORE","A","2012",491,
"LVA","PISAMATH","TOT","MEANSCORE","A","2015",482,
"RUS","PISAMATH","TOT","MEANSCORE","A","2012",482,
"RUS","PISAMATH","TOT","MEANSCORE","A","2015",494,
"SVN","PISAMATH","TOT","MEANSCORE","A","2012",501,
"SVN","PISAMATH","TOT","MEANSCORE","A","2015",510,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2012",494,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2015",490,
"COL","PISAMATH","TOT","MEANSCORE","A","2015",390,
"HKG","PISAMATH","TOT","MEANSCORE","A","2015",548,
"PER","PISAMATH","TOT","MEANSCORE","A","2015",387,
"SGP","PISAMATH","TOT","MEANSCORE","A","2015",564,
"TWN","PISAMATH","TOT","MEANSCORE","A","2015",542,
"MAC","PISAMATH","TOT","MEANSCORE","A","2015",544,
